Name,Rtg,Pos,Card,Nation,PAC,SHO,PAS,DRI,DEF,PHY,Link
Timm Klose,71,CB,silverrare,Switzerland,42,42,55,40,72,74,https://wefut.com/player/13/13927/timm-klose
Behrang Safari,71,LB,silverrare,Sweden,89,46,70,71,69,55,https://wefut.com/player/13/13634/behrang-safari
Yanic Wildschut,71,LW,silverrare,Netherlands,85,67,65,74,48,58,https://wefut.com/player/13/13633/yanic-wildschut
Virgil van Dijk,71,CB,silverrare,Netherlands,53,59,65,60,72,78,https://wefut.com/player/13/13632/virgil-van-dijk
Piti,71,LW,silverrare,Spain,71,76,64,70,47,53,https://wefut.com/player/13/13630/piti
Henok Goitom,71,ST,silverif,Sweden,53,53,74,65,73,73,https://wefut.com/player/13/13629/wayne-bridge
Josh McEachran,71,CM,silverrare,England,76,63,76,76,59,50,https://wefut.com/player/13/13628/josh-mceachran
Nathan Delfouneso,71,ST,silverrare,England,90,64,49,77,33,70,https://wefut.com/player/13/13627/nathan-delfouneso
Daniel Pudil,71,LM,silverrare,Czech Republic,80,64,70,70,69,64,https://wefut.com/player/13/13625/daniel-pudil
Ryo Miyaichi,71,RW,silverrare,Japan,94,53,58,78,34,39,https://wefut.com/player/13/13624/ryo-miyaichi
Danny Rose,71,LB,silverrare,England,82,57,71,73,70,56,https://wefut.com/player/13/13623/danny-rose
Juan,71,LB,silverrare,Brazil,72,69,74,80,68,62,https://wefut.com/player/13/13622/juan
Kris Boyd,71,ST,silverrare,Scotland,61,72,62,66,35,67,https://wefut.com/player/13/12665/kris-boyd
Kanu,71,CAM,silverrare,Brazil,73,67,69,74,60,72,https://wefut.com/player/13/12630/kanu
Jonathas,71,ST,silverrare,Brazil,69,68,48,63,45,78,https://wefut.com/player/13/12514/jonathas
Eyong Enoh,71,CDM,silverrare,Cameroon,73,31,53,60,76,72,https://wefut.com/player/13/12510/eyong-enoh
Emiliano Bonazzoli,71,ST,silverrare,Italy,62,66,59,63,51,80,https://wefut.com/player/13/12439/emiliano-bonazzoli
Wallyson,71,ST,silverrare,Brazil,88,68,62,73,42,63,https://wefut.com/player/13/12432/wallyson
Gilberto,71,ST,silverrare,Brazil,65,73,59,64,43,76,https://wefut.com/player/13/12430/gilberto
Pape N'diaye Souaré,71,LB,silverrare,Senegal,76,52,75,70,67,72,https://wefut.com/player/13/12376/pape-n-diaye-souare
Jasmin Kurtić,71,CM,silverrare,Slovenia,68,65,71,68,67,70,https://wefut.com/player/13/12374/jasmin-kurtic
Aranda,71,ST,silverrare,Spain,67,71,49,68,47,72,https://wefut.com/player/13/12168/aranda
Jamie Murphy,71,ST,silverrare,Scotland,82,68,69,75,44,70,https://wefut.com/player/13/12005/jamie-murphy
Jonathan Pereira,71,CF,silverrare,Spain,90,63,57,81,37,54,https://wefut.com/player/13/12004/jonathan-pereira
Osvaldo Martínez,71,CAM,silverrare,Paraguay,73,69,70,73,44,58,https://wefut.com/player/13/12001/osvaldo-martinez
Giuseppe Colucci,71,CM,silverrare,Italy,54,66,74,70,65,54,https://wefut.com/player/13/11828/giuseppe-colucci
Matthieu Chalmé,71,RB,silverrare,France,66,54,74,66,71,69,https://wefut.com/player/13/11826/matthieu-chalme
Javier Aquino,71,RM,silverrare,Mexico,81,62,67,75,42,53,https://wefut.com/player/13/11794/javier-aquino
Christian Suárez,71,RM,silverrare,Ecuador,94,67,68,75,40,65,https://wefut.com/player/13/11475/christian-suarez
Anthony Le Tallec,71,CF,silverrare,France,69,70,67,70,46,76,https://wefut.com/player/13/11474/anthony-le-tallec
Ibrahima Mbaye,71,LB,silverrare,Senegal,82,51,66,69,69,69,https://wefut.com/player/13/10860/ibrahima-mbaye
Mazinho,71,CF,silverrare,Brazil,82,66,70,79,40,50,https://wefut.com/player/13/10454/mazinho
Jorginho,71,CAM,silverrare,Brazil,84,64,70,77,56,52,https://wefut.com/player/13/9931/jorginho
Joel Campbell,71,LW,silverrare,Costa Rica,85,71,61,72,50,66,https://wefut.com/player/13/9757/joel-campbell
Yanic Wildschut,71,LW,silverrare,Netherlands,85,67,65,74,48,58,https://wefut.com/player/13/9697/yanic-wildschut
Gilberto,71,ST,silverrare,Brazil,65,73,59,64,43,76,https://wefut.com/player/13/9505/gilberto
Virgil van Dijk,71,CB,silverrare,Netherlands,53,59,65,60,72,78,https://wefut.com/player/13/9456/virgil-van-dijk
Rodrigo Mora,71,ST,silverrare,Uruguay,74,74,66,73,39,62,https://wefut.com/player/13/9312/rodrigo-mora
Thulani Serero,71,CAM,silverrare,South Africa,82,60,70,78,41,41,https://wefut.com/player/13/9265/thulani-serero
Jesé Rodríguez,71,LM,silverrare,Spain,85,66,60,82,38,53,https://wefut.com/player/13/9211/jese-rodriguez
Deulofeu,71,LW,silverrare,Spain,91,54,55,83,35,51,https://wefut.com/player/13/9203/deulofeu
Ryo Miyaichi,71,RW,silverrare,Japan,94,53,58,78,34,39,https://wefut.com/player/13/9069/ryo-miyaichi
Jonathan Schmid,71,RM,silverrare,France,83,57,67,75,64,60,https://wefut.com/player/13/9051/jonathan-schmid
Christian Suárez,71,RM,silverrare,Ecuador,94,67,68,75,40,65,https://wefut.com/player/13/9048/christian-suarez
Gabriel Torje,71,RM,silverrare,Romania,78,66,66,77,49,64,https://wefut.com/player/13/8947/gabriel-torje
Nnamdi Oduamadi,71,RM,silverrare,Nigeria,94,59,63,75,37,59,https://wefut.com/player/13/8806/nnamdi-oduamadi
Arkadiusz Piech,71,ST,silverrare,Poland,91,61,56,72,47,75,https://wefut.com/player/13/8626/arkadiusz-piech
Timm Klose,71,CB,silverrare,Switzerland,42,42,55,40,72,74,https://wefut.com/player/13/8453/timm-klose
Anselmo Ramon,71,ST,silverrare,Brazil,76,65,55,74,44,73,https://wefut.com/player/13/8399/anselmo-ramon
Saphir Taïder,71,CAM,silverrare,France,74,66,69,77,58,53,https://wefut.com/player/13/8296/saphir-taider
Josh McEachran,71,CM,silverrare,England,76,63,76,76,59,50,https://wefut.com/player/13/8285/josh-mceachran
Leandro Bacuna,71,RW,silverrare,Netherlands,72,72,73,71,59,68,https://wefut.com/player/13/8161/leandro-bacuna
Lars Vilsvik,71,LB,silverrare,Norway,80,60,71,69,72,64,https://wefut.com/player/13/8055/lars-vilsvik
Dejan Lazarevic,71,RW,silverrare,Slovenia,91,58,67,71,47,52,https://wefut.com/player/13/8034/dejan-lazarevic
Joao Rojas,71,RM,silverrare,Ecuador,93,64,63,76,42,66,https://wefut.com/player/13/7929/joao-rojas
Borja García,71,RM,silverrare,Spain,83,64,60,79,39,57,https://wefut.com/player/13/7875/borja-garcia
Pavel Yakovlev,71,LW,silverrare,Russia,75,71,66,74,51,59,https://wefut.com/player/13/7764/pavel-yakovlev
Vladimir Dyadyun,71,CF,silverrare,Russia,66,71,66,67,45,74,https://wefut.com/player/13/7615/vladimir-dyadyun
Charlison Benschop,71,ST,silverrare,Netherlands,70,65,51,67,49,65,https://wefut.com/player/13/7553/charlison-benschop
Tongo Hamed Doumbia,71,CDM,silverrare,France,72,55,70,69,71,77,https://wefut.com/player/13/7511/tongo-hamed-doumbia
Vincenzo Camilleri,71,CB,silverrare,Italy,58,41,45,43,73,72,https://wefut.com/player/13/7455/vincenzo-camilleri
Jose Carlos,71,CAM,silverrare,Spain,69,70,77,72,46,57,https://wefut.com/player/13/7415/jose-carlos
Javier Aquino,71,RM,silverrare,Mexico,81,62,67,75,42,53,https://wefut.com/player/13/7392/javier-aquino
Kim Shin Wook,71,ST,silverrare,Korea Republic,73,66,55,66,59,74,https://wefut.com/player/13/7293/kim-shin-wook
Gilvan,71,LM,silverrare,Brazil,88,66,59,78,51,63,https://wefut.com/player/13/7289/gilvan
Takashi Usami,71,CAM,silverrare,Japan,77,62,64,78,34,38,https://wefut.com/player/13/7210/takashi-usami
Wallyson,71,ST,silverrare,Brazil,88,68,62,73,42,63,https://wefut.com/player/13/7151/wallyson
Steve Zakuani,71,LM,silverrare,DR Congo,87,63,64,74,48,63,https://wefut.com/player/13/7024/steve-zakuani
Omar Gonzalez,71,CB,silverrare,United States,62,37,50,38,75,73,https://wefut.com/player/13/7022/omar-gonzalez
Osvaldo Martínez,71,RM,silverrare,Paraguay,73,69,70,73,44,58,https://wefut.com/player/13/7010/osvaldo-martinez
Janusz Gol,71,CDM,silverrare,Poland,64,51,66,62,72,70,https://wefut.com/player/13/7005/janusz-gol
Eyong Enoh,71,CDM,silverrare,Cameroon,73,31,53,60,76,72,https://wefut.com/player/13/6960/eyong-enoh
Rodolph Austin,71,CM,silverrare,Jamaica,78,70,70,65,72,71,https://wefut.com/player/13/6938/rodolph-austin
Victor Sánchez,71,CM,silverrare,Spain,71,59,75,68,65,60,https://wefut.com/player/13/6779/victor-sanchez
Maikon Leite,71,RW,silverrare,Brazil,90,67,55,75,38,51,https://wefut.com/player/13/6776/maikon-leite
Cristian Pasquato,71,CF,silverrare,Italy,82,71,70,81,41,50,https://wefut.com/player/13/6755/cristian-pasquato
Tom Hateley,71,RB,silverrare,England,71,59,71,69,70,70,https://wefut.com/player/13/6724/tom-hateley
Jonathas,71,ST,silverrare,Brazil,69,68,48,63,45,78,https://wefut.com/player/13/6679/jonathas
Lukas Schmitz,71,LB,silverrare,Germany,72,65,77,70,60,58,https://wefut.com/player/13/6677/jonjo-shelvey
Jamie Murphy,71,CF,silverrare,Scotland,82,68,69,75,44,70,https://wefut.com/player/13/6671/jamie-murphy
Dani Pacheco,71,CF,silverrare,Spain,78,69,68,82,39,55,https://wefut.com/player/13/6546/dani-pacheco
Kanu,71,CAM,silverrare,Brazil,73,67,69,74,60,72,https://wefut.com/player/13/6404/kanu
Sloan Privat,71,ST,silverrare,France,67,70,56,64,45,80,https://wefut.com/player/13/6307/sloan-privat
Geoff Cameron,71,CDM,silverrare,United States,75,59,62,65,72,72,https://wefut.com/player/13/6227/geoff-cameron
Wesley,71,CM,silverrare,Brazil,81,69,72,74,65,59,https://wefut.com/player/13/6216/wesley
Christian Stuani,71,ST,silverrare,Uruguay,65,70,52,62,46,80,https://wefut.com/player/13/6189/christian-stuani
Maciej Rybus,71,LM,silverrare,Poland,84,66,67,71,43,50,https://wefut.com/player/13/6143/maciej-rybus
Demar Phillips,71,LM,silverrare,Jamaica,89,61,64,77,62,63,https://wefut.com/player/13/6053/demar-phillips
Sebastian Ribas,71,ST,silverrare,Uruguay,71,71,44,70,42,73,https://wefut.com/player/13/6045/sebastian-ribas
Odion Ighalo,71,ST,silverrare,Nigeria,80,64,52,80,49,70,https://wefut.com/player/13/6044/odion-ighalo
Marco Sansovini,71,ST,silverrare,Italy,84,69,58,72,41,58,https://wefut.com/player/13/6035/marco-sansovini
Maurício,71,CM,silverrare,Brazil,72,63,72,73,67,72,https://wefut.com/player/13/6005/mauricio
John Goossens,71,CAM,silverrare,Netherlands,67,77,70,72,46,52,https://wefut.com/player/13/5973/john-goossens
Nathan Delfouneso,71,ST,silverrare,England,90,64,49,77,33,70,https://wefut.com/player/13/5895/nathan-delfouneso
Jesús Molina,71,CDM,silverrare,Mexico,63,53,62,63,74,86,https://wefut.com/player/13/5681/jesus-molina
Chukwuma Akabueze,71,ST,silverrare,Nigeria,78,69,60,78,46,68,https://wefut.com/player/13/5625/chukwuma-akabueze
Fabian Delph,71,CM,silverrare,England,82,71,71,77,61,55,https://wefut.com/player/13/5624/fabian-delph
Júlio César,71,LB,silverrare,Brazil,78,64,77,74,71,62,https://wefut.com/player/13/5602/julio-cesar
Fin Bartels,71,LM,silverrare,Germany,83,57,70,70,48,58,https://wefut.com/player/13/5588/fin-bartels
Ignacio González,71,CAM,silverrare,Uruguay,55,71,69,71,49,66,https://wefut.com/player/13/5522/ignacio-gonzalez
Dare Vršič,71,CM,silverrare,Slovenia,77,69,77,78,51,58,https://wefut.com/player/13/5413/dare-vrsic
Dušan Švento,71,LM,silverrare,Slovakia,86,71,65,77,56,48,https://wefut.com/player/13/5343/dusan-svento
Daniel Pudil,71,LB,silverrare,Czech Republic,80,64,70,70,69,64,https://wefut.com/player/13/5336/daniel-pudil
Jonjo Shelvey,71,CM,silverrare,England,65,69,75,71,59,55,https://wefut.com/player/13/5237/sung-yueng-ki
Ben Sahar,71,ST,silverrare,Israel,83,67,54,75,35,63,https://wefut.com/player/13/5216/ben-sahar
Zoltán Stieber,71,LM,silverrare,Hungary,81,69,66,75,40,57,https://wefut.com/player/13/5150/zoltan-stieber
Marius Žaliukas,71,CB,silverrare,Lithuania,71,39,49,57,72,72,https://wefut.com/player/13/5024/marius-zaliukas
Takayuki Morimoto,71,ST,silverrare,Japan,81,67,61,68,45,66,https://wefut.com/player/13/5022/takayuki-morimoto
Canella,71,LB,silverrare,Spain,81,52,67,66,70,65,https://wefut.com/player/13/5017/canella
Karim Matmour,71,RM,silverrare,Algeria,83,68,66,75,39,58,https://wefut.com/player/13/4979/karim-matmour
Bueno,71,CF,silverrare,Spain,74,71,62,78,46,57,https://wefut.com/player/13/4967/bueno
Viktor Elm,71,CM,silverrare,Sweden,45,70,71,62,66,75,https://wefut.com/player/13/4747/viktor-elm
Karim Guédé,71,CDM,silverrare,Slovakia,69,63,64,68,74,74,https://wefut.com/player/13/4742/karim-guede
Márcio Rozário,71,CB,silverrare,Brazil,27,54,59,49,72,69,https://wefut.com/player/13/4728/marcio-rozario
Marvin Emnes,71,ST,silverrare,Netherlands,87,67,64,72,51,56,https://wefut.com/player/13/4703/marvin-emnes
Adi,71,LB,silverrare,Brazil,78,62,70,68,73,79,https://wefut.com/player/13/4622/adi
Tom De Sutter,71,ST,silverrare,Belgium,70,67,61,64,54,79,https://wefut.com/player/13/4550/tom-de-sutter
Jimmy Kébé,71,RM,silverrare,Mali,92,61,63,75,41,56,https://wefut.com/player/13/4513/jimmy-kebe
Xavier Pentecôte,71,ST,silverrare,France,65,71,64,72,38,68,https://wefut.com/player/13/4380/xavier-pentecote
Stylianos Malezas,71,CB,silverrare,Greece,68,42,58,55,73,69,https://wefut.com/player/13/4360/stylianos-malezas
James Troisi,71,CF,silverrare,Australia,78,67,63,78,42,55,https://wefut.com/player/13/4281/james-troisi
Martín Bravo,71,LW,silverrare,Argentina,94,64,66,74,45,67,https://wefut.com/player/13/4261/martin-bravo
Jonathan Pereira,71,CF,silverrare,Spain,90,63,57,81,37,54,https://wefut.com/player/13/4249/jonathan-pereira
Boubacar Sanogo,71,ST,silverrare,Ivory Coast,72,69,58,70,45,80,https://wefut.com/player/13/4232/boubacar-sanogo
Adrián Colunga,71,ST,silverrare,Spain,74,70,58,80,37,58,https://wefut.com/player/13/4210/adrian-colunga
Zé Roberto,71,CF,silverrare,Brazil,66,71,74,72,42,56,https://wefut.com/player/13/4201/ze-roberto
Thomas Enevoldsen,71,LW,silverrare,Denmark,81,73,65,70,48,58,https://wefut.com/player/13/4188/thomas-enevoldsen
Nauzet Alemán,71,RM,silverrare,Spain,76,72,70,72,49,50,https://wefut.com/player/13/4169/nauzet-aleman
Cisma,71,LB,silverrare,Spain,72,54,65,65,70,65,https://wefut.com/player/13/4146/cisma
Danny Rose,71,LB,silverrare,England,82,57,71,73,70,56,https://wefut.com/player/13/3981/danny-rose
Daniel Adlung,71,LM,silverrare,Germany,82,64,67,73,51,60,https://wefut.com/player/13/3942/daniel-adlung
Stephan Schröck,71,LM,silverrare,Philippines,90,48,66,74,67,58,https://wefut.com/player/13/3941/stephan-schrock
Christian Eichner,71,LB,silverrare,Germany,62,56,74,69,71,68,https://wefut.com/player/13/3937/christian-eichner
Martin Jakubko,71,ST,silverrare,Slovakia,69,72,67,66,41,67,https://wefut.com/player/13/3864/martin-jakubko
Miroslav Radović,71,CAM,silverrare,Serbia,82,58,64,74,51,70,https://wefut.com/player/13/3750/miroslav-radovic
Simon Vukčević,71,RM,silverrare,Montenegro,74,78,70,75,46,73,https://wefut.com/player/13/3747/simon-vukcevic
Juan,71,LB,silverrare,Brazil,72,69,74,80,68,62,https://wefut.com/player/13/3662/juan
Razak Boukari,71,ST,silverrare,Togo,81,66,60,74,41,66,https://wefut.com/player/13/3606/razak-boukari
Grégory,71,CB,silverrare,France,49,33,50,41,70,78,https://wefut.com/player/13/3567/gregory
Jacob Mulenga,71,ST,silverrare,Zambia,74,66,56,67,51,76,https://wefut.com/player/13/3452/jacob-mulenga
Alessio Sestu,71,RM,silverrare,Italy,80,64,65,78,58,58,https://wefut.com/player/13/3451/alessio-sestu
Behrang Safari,71,LB,silverrare,Sweden,89,46,70,71,69,55,https://wefut.com/player/13/3405/behrang-safari
Quincy Owusu-Abeyie,71,RM,silverrare,Ghana,92,65,57,81,37,61,https://wefut.com/player/13/3279/quincy-owusu-abeyie
Antimo Iunco,71,CF,silverrare,Italy,84,67,63,78,53,59,https://wefut.com/player/13/3219/antimo-iunco
Chica,71,RB,silverrare,Spain,66,52,64,60,77,64,https://wefut.com/player/13/3188/chica
Matthieu Chalmé,71,RB,silverrare,France,66,54,74,66,71,69,https://wefut.com/player/13/3035/matthieu-chalme
Julien Gorius,71,CAM,silverrare,France,65,74,69,70,58,63,https://wefut.com/player/13/3011/julien-gorius
Efraín Velarde,71,LB,silverrare,Mexico,85,65,66,66,66,72,https://wefut.com/player/13/2938/efrain-velarde
Christian Valdez,71,CM,silverrare,Mexico,82,60,69,69,67,46,https://wefut.com/player/13/2909/christian-valdez
Toché,71,ST,silverrare,Spain,63,71,53,63,46,77,https://wefut.com/player/13/2906/toche
Gennaro Sardo,71,RB,silverrare,Italy,54,60,70,65,74,80,https://wefut.com/player/13/2886/gennaro-sardo
Lukas Sinkiewicz,71,CB,silverrare,Germany,53,46,58,48,71,74,https://wefut.com/player/13/2874/lukas-sinkiewicz
Luís Carlos,71,LW,silverrare,Brazil,87,63,62,74,39,53,https://wefut.com/player/13/2802/luis-carlos
Darren Ambrose,71,CAM,silverrare,England,71,76,68,69,51,54,https://wefut.com/player/13/2743/darren-ambrose
Piti,71,CF,silverrare,Spain,71,76,64,70,47,53,https://wefut.com/player/13/2676/piti
Clarence Goodson,71,CB,silverrare,United States,68,44,55,46,73,70,https://wefut.com/player/13/2620/clarence-goodson
Bradley Johnson,71,CM,silverrare,England,68,68,73,68,67,74,https://wefut.com/player/13/2560/bradley-johnson
Jonathan Brison,71,LB,silverrare,France,75,58,73,68,70,67,https://wefut.com/player/13/2465/jonathan-brison
Markus Brzenska,71,CB,silverrare,Germany,43,23,42,31,75,70,https://wefut.com/player/13/2457/markus-brzenska
Vangelis Moras,71,CB,silverrare,Greece,64,35,50,51,74,72,https://wefut.com/player/13/2421/vangelis-moras
Keith Fahey,71,CM,silverrare,Republic of Ireland,75,71,73,71,63,65,https://wefut.com/player/13/2412/keith-fahey
Marcin Wasilewski,71,RB,silverrare,Poland,60,53,60,41,73,79,https://wefut.com/player/13/2322/marcin-wasilewski
Ikechukwu Uche,71,ST,silverrare,Nigeria,82,63,51,78,42,76,https://wefut.com/player/13/2168/ikechukwu-uche
Jorge Andrés Martínez,71,LW,silverrare,Uruguay,65,69,63,83,55,84,https://wefut.com/player/13/2056/jorge-andres-martinez
Georgi Peev,71,RM,silverrare,Bulgaria,57,71,73,72,55,59,https://wefut.com/player/13/2019/georgi-peev
Jason Shackell,71,CB,silverrare,England,67,36,54,55,72,73,https://wefut.com/player/13/1880/jason-shackell
Luis Pérez,71,CM,silverrare,Mexico,72,66,74,71,70,66,https://wefut.com/player/13/1848/luis-perez
Lino,71,LB,silverrare,Brazil,68,70,74,74,71,68,https://wefut.com/player/13/1807/lino
Massimo Paci,71,CB,silverrare,Italy,54,39,59,38,74,72,https://wefut.com/player/13/1630/massimo-paci
Léo Moura,71,RB,silverrare,Brazil,81,70,75,79,68,56,https://wefut.com/player/13/1574/leo-moura
Pereira,71,CB,silverrare,Brazil,57,45,47,38,72,79,https://wefut.com/player/13/1568/pereira
Pablo Ibáñez,71,CB,silverrare,Spain,52,36,57,48,73,72,https://wefut.com/player/13/1543/pablo-ibanez
Ronnie Stam,71,RB,silverrare,Netherlands,69,67,71,70,71,60,https://wefut.com/player/13/1488/ronnie-stam
Steven Whittaker,71,RB,silverrare,Scotland,81,52,69,66,70,72,https://wefut.com/player/13/1417/steven-whittaker
Rémi Mareval,71,LB,silverrare,France,80,67,72,69,73,74,https://wefut.com/player/13/1374/remi-mareval
Fabrice Abriel,71,CM,silverrare,France,68,60,74,70,70,62,https://wefut.com/player/13/1326/fabrice-abriel
Jonathan Legear,71,RM,silverrare,Belgium,69,67,71,79,40,50,https://wefut.com/player/13/1220/vicente
Güiza,71,ST,silverrare,Spain,66,72,58,68,39,65,https://wefut.com/player/13/1204/guiza
Crusat,71,LW,silverrare,Spain,89,58,56,77,37,49,https://wefut.com/player/13/1193/crusat
Pelegrín,71,CB,silverrare,Spain,51,37,52,51,70,79,https://wefut.com/player/13/1182/pelegrin
Davide Brivio,71,LB,silverrare,Italy,71,63,67,59,73,62,https://wefut.com/player/13/1145/davide-brivio
Daniel Braaten,71,RM,silverrare,Norway,74,70,70,78,60,64,https://wefut.com/player/13/1099/daniel-braaten
Martin Amedick,71,CB,silverrare,Germany,52,40,53,42,71,78,https://wefut.com/player/13/873/martin-amedick
Aranda,71,ST,silverrare,Spain,67,71,49,68,47,72,https://wefut.com/player/13/870/aranda
Zat Knight,71,CB,silverrare,England,53,39,55,46,70,73,https://wefut.com/player/13/828/zat-knight
Anthony Le Tallec,71,CF,silverrare,France,69,70,67,70,46,76,https://wefut.com/player/13/822/anthony-le-tallec
Francesco Tavano,71,CF,silverrare,Italy,74,70,64,74,41,60,https://wefut.com/player/13/815/francesco-tavano
Brad Davis,71,CM,silverrare,United States,63,65,73,70,59,55,https://wefut.com/player/13/727/brad-davis
Kris Boyd,71,ST,silverrare,Scotland,61,72,62,66,35,67,https://wefut.com/player/13/688/kris-boyd
Andrea Caracciolo,71,ST,silverrare,Italy,60,64,54,59,48,88,https://wefut.com/player/13/685/andrea-caracciolo
Eddie Johnson,71,ST,silverrare,United States,83,65,49,69,44,77,https://wefut.com/player/13/641/eddie-johnson
Walter Pandiani,71,ST,silverrare,Uruguay,49,71,53,59,51,77,https://wefut.com/player/13/619/walter-pandiani
Tim Smolders,71,CM,silverrare,Belgium,34,71,70,66,66,66,https://wefut.com/player/13/602/tim-smolders
Kevin McNaughton,71,RB,silverrare,Scotland,81,50,68,60,69,64,https://wefut.com/player/13/572/kevin-mcnaughton
Liam Lawrence,71,RM,silverrare,Republic of Ireland,66,70,73,72,53,56,https://wefut.com/player/13/419/liam-lawrence
Steed Malbranque,71,RM,silverrare,France,62,71,74,77,56,56,https://wefut.com/player/13/371/steed-malbranque
Magne Hoseth,71,CM,silverrare,Norway,63,73,74,78,57,40,https://wefut.com/player/13/362/magne-hoseth
Patrick Zwaanswijk,71,CB,silverrare,Netherlands,53,68,66,61,73,79,https://wefut.com/player/13/338/patrick-zwaanswijk
Albert Meyong Zé,71,ST,silverrare,Cameroon,67,71,62,71,51,70,https://wefut.com/player/13/327/albert-meyong-ze
El-Hadji Diouf,71,CF,silverrare,Senegal,69,72,62,77,49,63,https://wefut.com/player/13/295/el-hadji-diouf
Christoph Dabrowski,71,CDM,silverrare,Germany,56,62,66,55,75,78,https://wefut.com/player/13/292/christoph-dabrowski
Vicente,71,LM,silverrare,Spain,34,66,71,64,70,68,https://wefut.com/player/13/229/orlando-engelaar
Giuseppe Colucci,71,CM,silverrare,Italy,54,66,74,70,65,54,https://wefut.com/player/13/217/giuseppe-colucci
Emiliano Bonazzoli,71,ST,silverrare,Italy,62,66,59,63,51,80,https://wefut.com/player/13/188/emiliano-bonazzoli
Manuele Blasi,71,CM,silverrare,Italy,60,49,71,67,72,62,https://wefut.com/player/13/184/manuele-blasi
Stephen Carr,71,RB,silverrare,Republic of Ireland,65,45,69,68,75,64,https://wefut.com/player/13/160/stephen-carr
Wayne Bridge,71,LB,silverrare,England,53,53,74,65,73,73,https://wefut.com/player/13/99/wayne-bridge
Kevin Phillips,71,ST,silverrare,England,53,72,58,63,38,71,https://wefut.com/player/13/84/kevin-phillips
José Francisco Torres,71,CM,silver,United States,73,65,69,69,64,57,https://wefut.com/player/13/13961/jose-francisco-torres
Diego Reyes,71,CB,silver,Mexico,70,52,62,66,73,72,https://wefut.com/player/13/13820/diego-reyes
Willian José,71,ST,silver,Brazil,66,70,51,69,48,62,https://wefut.com/player/13/13818/willian-jose
Ivanildo,71,LW,silver,Guinea Bissau,84,59,66,72,43,40,https://wefut.com/player/13/13635/ivanildo
Luis García,71,CF,silver,Spain,73,69,72,74,46,65,https://wefut.com/player/13/13631/luis-garcia
Jay Spearing,71,CM,silver,England,70,61,70,70,71,70,https://wefut.com/player/13/13626/jay-spearing
Kaspars Gorkšs,71,CB,silver,Latvia,54,34,52,44,73,74,https://wefut.com/player/13/12690/kaspars-gorkss
Mario Bolatti,71,CM,silver,Argentina,61,64,72,66,72,68,https://wefut.com/player/13/12664/mario-bolatti
Edcarlos,71,CB,silver,Brazil,36,42,55,59,71,74,https://wefut.com/player/13/12637/edcarlos
Bill,71,ST,silver,Brazil,68,69,57,66,44,78,https://wefut.com/player/13/12636/bill
Cristiano Del Grosso,71,LB,silver,Italy,74,48,65,64,68,58,https://wefut.com/player/13/12513/cristiano-del-grosso
Naldo,71,CB,silver,Brazil,62,46,52,48,73,69,https://wefut.com/player/13/12512/naldo
Stanislav Manolev,71,RB,silver,Bulgaria,75,55,67,70,69,64,https://wefut.com/player/13/12511/stanislav-manolev
Willian Magrão,71,CM,silver,Brazil,69,53,69,73,68,72,https://wefut.com/player/13/12464/willian-magrao
Caio,71,CF,silver,Brazil,78,65,62,77,47,68,https://wefut.com/player/13/12431/caio
Ciro,71,CF,silver,Brazil,76,68,67,77,36,61,https://wefut.com/player/13/12429/ciro
Nicola Sansone,71,LW,silver,Italy,79,67,61,77,37,56,https://wefut.com/player/13/12377/nicola-sansone
Valentin Eysseric,71,CAM,silver,France,73,68,71,72,41,53,https://wefut.com/player/13/12373/valentin-eysseric
Orlando Engelaar,71,CM,silverrare,Netherlands,80,58,64,77,36,47,https://wefut.com/player/13/12372/fidel
Alexander Kacaniklic,71,LM,silver,Sweden,83,64,65,77,40,50,https://wefut.com/player/13/12241/alexander-kacaniklic
Bolívar,71,CB,silver,Brazil,60,45,48,55,70,74,https://wefut.com/player/13/12186/bolivar
Gil,71,CB,silver,Brazil,50,38,55,46,73,68,https://wefut.com/player/13/12185/gil
Robert Tesche,71,CDM,silver,Germany,68,66,70,71,67,78,https://wefut.com/player/13/12169/robert-tesche
Sebastien Le Toux,71,ST,silver,France,68,69,66,72,52,65,https://wefut.com/player/13/12007/sebastien-le-toux
Oscar Hiljemark,71,CM,silver,Sweden,64,65,67,68,65,65,https://wefut.com/player/13/12006/oscar-hiljemark
Willian José,71,ST,silver,Brazil,66,70,51,69,48,62,https://wefut.com/player/13/12003/willian-jose
Segundo Castillo,71,CDM,silver,Ecuador,76,68,63,69,70,74,https://wefut.com/player/13/12002/segundo-castillo
Dedryck Boyata,71,CB,silver,Belgium,71,28,57,41,71,73,https://wefut.com/player/13/11829/dedryck-boyata
Escudero,71,LB,silver,Spain,78,55,71,72,67,62,https://wefut.com/player/13/11827/escudero
Demy de Zeeuw,71,CM,silver,Netherlands,70,66,73,68,57,60,https://wefut.com/player/13/11825/demy-de-zeeuw
Danny Higginbotham,71,LB,silver,England,54,55,62,54,77,75,https://wefut.com/player/13/11523/danny-higginbotham
Alberto Medina,71,RW,silver,Mexico,79,64,71,72,39,62,https://wefut.com/player/13/11470/alberto-medina
Neuton,71,CB,silver,Brazil,67,44,57,54,72,76,https://wefut.com/player/13/11439/neuton
Danny Higginbotham,71,LB,silver,England,54,55,62,54,77,75,https://wefut.com/player/13/11438/danny-higginbotham
