Name,Rtg,Card,Nation,DIV,HAN,KIC,REF,SPE,POS,Link
Michael Gspurning,74,silverrare,Austria,70,73,70,81,42,75,https://wefut.com/player/13/2537/michael-gspurning
Stipe Pletikosa,74,silverrare,Croatia,74,72,73,73,64,78,https://wefut.com/player/13/2100/stipe-pletikosa
Thomas Sørensen,74,silverrare,Denmark,77,68,73,77,64,76,https://wefut.com/player/13/1542/thomas-sorensen
Doni,74,silverrare,Brazil,74,73,65,79,50,75,https://wefut.com/player/13/1496/doni
Paulo Lopes,74,silverrare,Portugal,75,78,66,74,43,74,https://wefut.com/player/13/925/paulo-lopes
Heinz Müller,74,silverrare,Germany,75,73,74,75,55,75,https://wefut.com/player/13/770/heinz-muller
Silvio Proto,74,silverrare,Belgium,82,68,73,81,68,67,https://wefut.com/player/13/657/silvio-proto
Nicolas Penneteau,74,silverrare,France,74,71,78,78,42,77,https://wefut.com/player/13/361/nicolas-penneteau
Albano Bizzarri,74,silverrare,Argentina,74,72,70,74,51,78,https://wefut.com/player/13/330/albano-bizzarri
Palop,74,silverrare,Spain,75,72,77,67,54,81,https://wefut.com/player/13/208/palop
Rémy Vercoutre,74,silverrare,France,77,72,73,80,36,73,https://wefut.com/player/13/152/remy-vercoutre
Dida,74,silverrare,Brazil,75,70,67,68,55,88,https://wefut.com/player/13/106/dida
Carlo Cudicini,74,silverrare,Italy,72,76,68,75,42,75,https://wefut.com/player/13/41/carlo-cudicini
Stephan Andersen,74,silver,Denmark,75,68,70,76,54,74,https://wefut.com/player/13/13600/stephan-andersen
Samir Ujkani,74,silver,Albania,74,72,66,78,55,73,https://wefut.com/player/13/12491/samir-ujkani
Max Grün,74,silver,Germany,76,72,68,76,51,73,https://wefut.com/player/13/7797/max-grun
Kelvin Davis,74,silver,England,76,70,67,78,61,75,https://wefut.com/player/13/2546/kelvin-davis
Sergey Ryzhikov,74,silver,Russia,75,72,63,77,60,74,https://wefut.com/player/13/2276/sergey-ryzhikov
Stephan Andersen,74,silver,Denmark,75,68,70,76,54,74,https://wefut.com/player/13/1446/stephan-andersen
Kim Yong Dae,73,silverif,Korea Republic,74,72,69,77,35,75,https://wefut.com/player/13/13291/kim-yong-dae
Kim Byung Ji,73,silverif,Korea Republic,74,65,54,79,64,78,https://wefut.com/player/13/13067/kim-byung-ji
Oka Nikolov,73,silverif,FYR Macedonia,76,68,59,77,33,76,https://wefut.com/player/13/12844/oka-nikolov
Alex McCarthy,73,silverif,England,75,73,67,80,59,73,https://wefut.com/player/13/12822/alex-mccarthy
Iván Cuéllar,73,silverif,Spain,75,76,68,80,59,68,https://wefut.com/player/13/11745/ivan-cuellar
Nick Rimando,73,silverif,United States,77,73,64,77,69,71,https://wefut.com/player/13/11270/nick-rimando
Macedo Novaes,73,silverrare,Brazil,76,72,73,72,44,78,https://wefut.com/player/13/14175/macedo-novaes
Joel,73,silverrare,Spain,69,79,73,73,49,75,https://wefut.com/player/13/14138/joel
Fabian Giefer,73,silverrare,Germany,74,72,58,78,45,72,https://wefut.com/player/13/12361/fabian-giefer
Dani Hernández,73,silverrare,Venezuela,70,79,85,68,34,75,https://wefut.com/player/13/12360/dani-hernandez
Rául Fernàndez,73,silverrare,Peru,77,73,61,76,51,74,https://wefut.com/player/13/12181/raul-fernandez
Joel,73,silverrare,Spain,69,79,73,73,49,75,https://wefut.com/player/13/12157/joel
Rául Fernàndez,73,silverrare,Peru,77,73,61,76,51,74,https://wefut.com/player/13/9568/raul-fernandez
Balázs Megyeri,73,silverrare,Hungary,74,72,80,77,55,69,https://wefut.com/player/13/8499/balazs-megyeri
Joel,73,silverrare,Spain,69,79,73,73,49,75,https://wefut.com/player/13/7970/joel
Neto,73,silverrare,Brazil,73,71,60,79,66,73,https://wefut.com/player/13/7846/neto
Macedo Novaes,73,silverrare,Brazil,76,72,73,72,44,78,https://wefut.com/player/13/6490/macedo-novaes
Bruno,73,silverrare,Brazil,82,69,74,70,28,77,https://wefut.com/player/13/5637/bruno
Max Grün,74,silver,Germany,76,72,68,76,51,73,https://wefut.com/player/13/5438/denis
Adán,73,silverrare,Spain,71,76,64,75,55,72,https://wefut.com/player/13/4966/adan
Tobias Sippel,73,silverrare,Germany,77,70,73,79,60,67,https://wefut.com/player/13/4815/tobias-sippel
Sinan Bolat,73,silverrare,Turkey,75,70,78,76,55,69,https://wefut.com/player/13/3226/sinan-bolat
Codina,73,silverrare,Spain,78,70,73,79,43,68,https://wefut.com/player/13/2223/codina
Sebastián Saja,73,silverrare,Argentina,77,70,70,74,23,71,https://wefut.com/player/13/2066/sebastian-saja
Kossi Agassa,73,silverrare,Togo,77,79,55,73,67,67,https://wefut.com/player/13/1688/kossi-agassa
Bogdan Lobonţ,73,silverrare,Romania,68,68,74,76,50,80,https://wefut.com/player/13/1604/bogdan-lobon%C5%A3
Christian Wetklo,73,silverrare,Germany,76,68,61,80,58,72,https://wefut.com/player/13/1303/christian-wetklo
Juan Pablo,73,silverrare,Spain,77,72,69,79,55,68,https://wefut.com/player/13/1180/juan-pablo
Jussi Jääskeläinen,73,silverrare,Finland,77,71,70,73,50,75,https://wefut.com/player/13/199/jussi-jaaskelainen
Jasper Cillessen,73,silver,Netherlands,76,71,67,76,41,71,https://wefut.com/player/13/8621/jasper-cillessen
Sebastian Mielitz,73,silver,Germany,75,71,67,77,39,70,https://wefut.com/player/13/7643/sebastian-mielitz
Ádám Bogdán,73,silver,Hungary,75,72,69,76,52,72,https://wefut.com/player/13/5926/adam-bogdan
Christian Puggioni,73,silver,Italy,73,73,65,76,50,74,https://wefut.com/player/13/3105/christian-puggioni
Luis Michel,73,silver,Mexico,74,71,67,77,50,73,https://wefut.com/player/13/1852/luis-michel
Oswaldo Sánchez,73,silver,Mexico,72,72,68,71,45,72,https://wefut.com/player/13/1830/oswaldo-sanchez
Kim Young Kwang,73,silver,Korea Republic,75,71,70,74,54,71,https://wefut.com/player/13/1597/kim-young-kwang
Rubinho,73,silver,Brazil,75,71,61,77,47,73,https://wefut.com/player/13/1502/rubinho
Tomasz Kuszczak,73,silver,Poland,76,69,62,78,50,70,https://wefut.com/player/13/1045/tomasz-kuszczak
Boaz Myhill,73,silver,Wales,75,70,68,77,41,69,https://wefut.com/player/13/789/boaz-myhill
Julián Speroni,73,silver,Argentina,76,71,69,75,58,68,https://wefut.com/player/13/697/julian-speroni
Roy Carroll,73,silver,Northern Ireland,71,70,72,76,55,75,https://wefut.com/player/13/140/roy-carroll
David Marshall,72,silverif,Scotland,77,68,70,76,45,72,https://wefut.com/player/13/11102/david-marshall
Darren Randolph,72,silverrare,Republic of Ireland,71,72,75,72,61,73,https://wefut.com/player/13/13619/darren-randolph
Denis,73,silverrare,Brazil,74,77,70,79,53,69,https://wefut.com/player/13/5438/denis
Adán,73,silverrare,Spain,71,76,64,75,55,72,https://wefut.com/player/13/4966/adan
Erwin Mulder,72,silverrare,Netherlands,74,65,76,77,35,69,https://wefut.com/player/13/5672/erwin-mulder
Andris Vanins,72,silverrare,Latvia,73,77,68,76,37,65,https://wefut.com/player/13/4412/andris-vanins
Darren Randolph,72,silverrare,Republic of Ireland,71,72,75,72,61,73,https://wefut.com/player/13/4001/darren-randolph
Oscar Ustari,72,silverrare,Argentina,78,65,78,80,55,66,https://wefut.com/player/13/3740/oscar-ustari
Adam Federici,72,silverrare,Australia,74,71,76,76,50,69,https://wefut.com/player/13/3551/adam-federici
Aranha,72,silverrare,Brazil,84,67,70,77,50,66,https://wefut.com/player/13/3463/aranha
Hilário,72,silverrare,Portugal,75,66,59,81,50,69,https://wefut.com/player/13/3292/hilario
Ross Turnbull,72,silverrare,England,77,72,69,76,50,66,https://wefut.com/player/13/3261/ross-turnbull
Sergey Narubin,72,silverrare,Russia,69,74,68,76,42,72,https://wefut.com/player/13/3154/sergey-narubin
Cirilo Saucedo,72,silverrare,Mexico,72,76,71,71,42,70,https://wefut.com/player/13/3061/cirilo-saucedo
Roberto,72,silverrare,Spain,80,66,64,79,58,66,https://wefut.com/player/13/2184/roberto
Jaime,72,silverrare,Spain,68,72,59,74,53,77,https://wefut.com/player/13/2146/jaime
Copa,72,silverrare,Ivory Coast,76,70,53,83,62,62,https://wefut.com/player/13/1382/copa
Riesgo,72,silverrare,Spain,77,72,61,68,54,76,https://wefut.com/player/13/1217/riesgo
Pinto,72,silverrare,Spain,78,75,78,69,43,68,https://wefut.com/player/13/1185/pinto
Lars Hirschfeld,72,silverrare,Canada,70,76,65,73,20,74,https://wefut.com/player/13/951/lars-hirschfeld
Andreas Luthe,72,silver,Germany,73,68,69,76,45,71,https://wefut.com/player/13/7483/andreas-luthe
Vanderlei,72,silver,Brazil,73,72,71,76,58,73,https://wefut.com/player/13/6410/vanderlei
Dušan Kuciak,72,silver,Slovakia,75,67,66,74,31,75,https://wefut.com/player/13/6069/dusan-kuciak
Guy-Rolland Ndy Assembe,72,silver,Cameroon,75,72,65,74,42,70,https://wefut.com/player/13/5611/guy-rolland-ndy-assembe
Marcelo Lomba,72,silver,Brazil,75,71,68,77,31,72,https://wefut.com/player/13/4681/marcelo-lomba
Ricardo Berna,72,silver,Brazil,74,73,70,76,27,70,https://wefut.com/player/13/4678/ricardo-berna
Alberto Frison,72,silver,Italy,74,70,60,76,50,74,https://wefut.com/player/13/4374/alberto-frison
Gianluca Curci,72,silver,Italy,72,71,65,75,50,73,https://wefut.com/player/13/3822/gianluca-curci
Scott Loach,72,silver,England,74,67,65,77,56,71,https://wefut.com/player/13/3793/scott-loach
Calatayud,72,silver,Spain,73,69,63,76,56,72,https://wefut.com/player/13/1311/calatayud
Federico Agliardi,72,silver,Italy,72,68,60,76,50,74,https://wefut.com/player/13/1156/federico-agliardi
Gerhard Tremmel,72,silver,Germany,73,70,59,75,48,72,https://wefut.com/player/13/506/gerhard-tremmel
Chris Kirkland,72,silver,England,75,72,72,73,50,69,https://wefut.com/player/13/317/chris-kirkland
Matt Gilks,72,silver,Scotland,74,69,68,75,44,73,https://wefut.com/player/13/258/matt-gilks
Francesco Bardi,71,silverif,Italy,71,71,61,79,57,70,https://wefut.com/player/13/12866/francesco-bardi
Mathew Ryan,71,silverif,Australia,72,63,74,77,59,76,https://wefut.com/player/13/11612/mathew-ryan
Mattia Perin,71,silverif,Italy,72,66,60,78,57,72,https://wefut.com/player/13/11576/mattia-perin
Yoann Thuram-Ulien,71,silverif,France,78,68,61,75,39,73,https://wefut.com/player/13/11113/yoann-thuram-ulien
Gábor Babos,71,silverrare,Hungary,72,68,60,69,29,76,https://wefut.com/player/13/13819/gabor-babos
Brad Jones,71,silverrare,Australia,71,49,74,75,64,69,https://wefut.com/player/13/12371/brad-jones
Stephen Henderson,71,silverrare,Republic of Ireland,71,70,80,75,51,71,https://wefut.com/player/13/11561/stephen-henderson
Nicola Leali,71,silverrare,Italy,75,70,55,80,53,65,https://wefut.com/player/13/8937/nicola-leali
Sergio Padt,71,silverrare,Netherlands,82,64,73,73,68,66,https://wefut.com/player/13/7393/sergio-padt
Giedrius Arlauskis,71,silverrare,Lithuania,74,66,70,80,33,75,https://wefut.com/player/13/7376/giedrius-arlauskis
Kristoffer Nordfeldt,71,silverrare,Sweden,72,69,65,78,67,68,https://wefut.com/player/13/7348/kristoffer-nordfeldt
Ivan Turina,71,silverrare,Croatia,68,73,59,75,32,73,https://wefut.com/player/13/6950/ivan-turina
Eiji Kawashima,71,silverrare,Japan,77,66,67,76,63,69,https://wefut.com/player/13/5290/eiji-kawashima
Júlio César,71,silverrare,Brazil,68,73,75,70,52,73,https://wefut.com/player/13/4913/julio-cesar
Frank Fielding,71,silverrare,England,71,72,75,72,58,70,https://wefut.com/player/13/3961/frank-fielding
Cobeño,71,silverrare,Spain,66,80,79,65,48,78,https://wefut.com/player/13/3439/cobeno
Samir Ujkani,72,silver,Albania,72,71,66,76,51,71,https://wefut.com/player/13/2765/stephen-henderson
Germán Lux,71,silverrare,Argentina,77,62,63,76,29,69,https://wefut.com/player/13/1802/german-lux
Olivier Sorin,71,silverrare,France,69,77,71,69,32,74,https://wefut.com/player/13/1324/olivier-sorin
Bertrand Laquait,71,silverrare,France,72,74,69,72,30,72,https://wefut.com/player/13/1323/bertrand-laquait
Manuel Almunia,71,silverrare,Spain,74,71,75,73,50,67,https://wefut.com/player/13/1291/manuel-almunia
Steve Harper,71,silverrare,England,70,73,71,70,34,77,https://wefut.com/player/13/763/steve-harper
Nick Rimando,71,silverrare,United States,74,72,64,72,69,68,https://wefut.com/player/13/343/nick-rimando
Gábor Babos,71,silverrare,Hungary,72,68,60,69,29,76,https://wefut.com/player/13/228/gabor-babos
Baptiste Reynet,71,silver,France,72,68,67,75,41,70,https://wefut.com/player/13/9637/baptiste-reynet
Mika,71,silver,Portugal,72,73,68,73,37,70,https://wefut.com/player/13/8255/mika
Bojan Jorgacevic,71,silver,Serbia,74,65,62,73,63,72,https://wefut.com/player/13/5566/bojan-jorgacevic
Wolfgang Hesl,71,silver,Germany,71,69,71,74,54,72,https://wefut.com/player/13/5546/wolfgang-hesl
Giannis Arabatzis,71,silver,Greece,72,70,67,72,37,72,https://wefut.com/player/13/4977/giannis-arabatzis
Miguel Pinto,71,silver,Chile,73,69,67,74,59,71,https://wefut.com/player/13/4714/miguel-pinto
Júlio César,71,silver,Brazil,74,66,65,77,55,70,https://wefut.com/player/13/3659/julio-cesar
Alfredo Talavera,71,silver,Mexico,70,71,69,72,55,73,https://wefut.com/player/13/2832/alfredo-talavera
Moisés Muñoz,71,silver,Mexico,70,72,62,73,46,72,https://wefut.com/player/13/2820/moises-munoz
Daniel Örlund,71,silver,Sweden,70,72,67,78,56,70,https://wefut.com/player/13/1469/daniel-orlund
Andy Lonergan,71,silver,England,72,68,67,77,50,67,https://wefut.com/player/13/1359/andy-lonergan
Marc Ziegler,71,silver,Germany,72,69,72,68,27,74,https://wefut.com/player/13/1147/marc-ziegler
Markus Miller,71,silver,Germany,74,67,60,74,45,72,https://wefut.com/player/13/1056/markus-miller
Stijn Stijnen,71,silver,Belgium,72,65,65,74,39,75,https://wefut.com/player/13/1005/stijn-stijnen
Jelle ten Rouwelaar,71,silver,Netherlands,72,69,68,71,52,74,https://wefut.com/player/13/497/jelle-ten-rouwelaar
Flavio Roma,71,silver,Italy,71,70,64,72,27,73,https://wefut.com/player/13/19/flavio-roma
Bill Hamid,70,silverif,United States,74,74,51,70,66,64,https://wefut.com/player/13/12347/bill-hamid
Stephen Henderson,71,silverrare,Republic of Ireland,71,70,80,73,58,68,https://wefut.com/player/13/11430/eugene-galekovic
David Forde,70,silverif,Republic of Ireland,72,61,71,77,47,69,https://wefut.com/player/13/11215/david-forde
Keylor Navas,70,silverrare,Costa Rica,81,61,58,78,52,64,https://wefut.com/player/13/7551/keylor-navas
Waleed Abdullah,70,silverrare,Saudi Arabia,71,61,69,76,38,72,https://wefut.com/player/13/7276/waleed-abdullah
Juan Guillermo Castillo,70,silverrare,Uruguay,68,76,66,75,56,73,https://wefut.com/player/13/5140/juan-guillermo-castillo
Casilla,70,silverrare,Spain,67,74,61,68,32,73,https://wefut.com/player/13/4874/casilla
Enrique Palos,70,silverrare,Mexico,62,72,64,68,42,78,https://wefut.com/player/13/4187/enrique-palos
Dan Kennedy,70,silverrare,United States,73,61,63,74,58,76,https://wefut.com/player/13/3503/dan-kennedy
Johan Dahlin,70,silverrare,Sweden,68,74,69,68,30,75,https://wefut.com/player/13/3498/johan-dahlin
Édson Bastos,70,silverrare,Brazil,66,75,72,68,62,71,https://wefut.com/player/13/3466/edson-bastos
Colin Doyle,70,silverrare,Republic of Ireland,71,70,67,73,63,69,https://wefut.com/player/13/3282/colin-doyle
Thomas Kessler,70,silverrare,Germany,71,72,67,70,56,68,https://wefut.com/player/13/3039/thomas-kessler
Casto,70,silverrare,Spain,84,61,55,81,36,57,https://wefut.com/player/13/2773/casto
Rubén,70,silverrare,Spain,79,64,63,78,47,62,https://wefut.com/player/13/2252/ruben
Iván Cuéllar,70,silverrare,Spain,71,74,68,76,59,63,https://wefut.com/player/13/2242/ivan-cuellar
Leo Franco,70,silverrare,Argentina,66,72,79,71,31,72,https://wefut.com/player/13/2215/leo-franco
Dario Kresic,70,silverrare,Croatia,77,65,62,70,58,70,https://wefut.com/player/13/1676/dario-kresic
Laurent Pionnier,70,silverrare,France,68,73,66,76,44,76,https://wefut.com/player/13/1381/laurent-pionnier
Yohann Pelé,70,silverrare,France,70,71,70,70,51,71,https://wefut.com/player/13/1151/yohann-pele
Rune Almenning Jarstein,70,silverrare,Norway,74,67,75,77,40,66,https://wefut.com/player/13/1093/rune-almenning-jarstein
Stuart Taylor,70,silverrare,England,68,74,67,72,51,68,https://wefut.com/player/13/761/stuart-taylor
Ulrich Ramé,70,silverrare,France,67,71,68,69,59,76,https://wefut.com/player/13/94/ulrich-rame
Eugenio Lamanna,70,silver,Italy,69,68,65,73,57,70,https://wefut.com/player/13/14185/eugenio-lamanna
Emanuele Belardi,70,silver,Italy,68,70,60,71,49,75,https://wefut.com/player/13/12693/emanuele-belardi
Lee Camp,70,silver,Northern Ireland,72,70,68,72,35,65,https://wefut.com/player/13/11830/lee-camp
Eugene Galeković,70,silver,Germany,71,68,55,75,40,70,https://wefut.com/player/13/8057/felix-wiedwald
Eugenio Lamanna,70,silver,Italy,69,68,65,73,57,70,https://wefut.com/player/13/7094/eugenio-lamanna
Renan,70,silver,Brazil,68,71,63,76,38,69,https://wefut.com/player/13/6412/renan
David Yurchenko,70,silver,Russia,65,67,67,75,46,75,https://wefut.com/player/13/6391/david-yurchenko
Anton Amelchenko,70,silver,Belarus,72,69,71,73,46,72,https://wefut.com/player/13/6065/anton-amelchenko
Orestis Karnezis,70,silver,Greece,71,71,70,73,45,68,https://wefut.com/player/13/5648/orestis-karnezis
Vito Mannone,70,silver,Italy,70,71,63,71,50,66,https://wefut.com/player/13/5108/vito-mannone
Renan,70,silver,Brazil,74,66,73,73,31,69,https://wefut.com/player/13/4720/renan
Federico Vilar,70,silver,Argentina,66,68,70,77,62,68,https://wefut.com/player/13/2787/federico-vilar
Christian Gratzei,70,silver,Austria,67,73,72,74,60,66,https://wefut.com/player/13/2747/christian-gratzei
David Marshall,70,silver,Scotland,74,67,70,72,45,68,https://wefut.com/player/13/2005/david-marshall
Gino Coutinho,70,silver,Netherlands,74,69,66,74,55,66,https://wefut.com/player/13/1747/gino-coutinho
Francesco Benussi,70,silver,Italy,72,72,60,70,50,68,https://wefut.com/player/13/1686/francesco-benussi
Kim Yong Dae,70,silver,Korea Republic,69,69,69,71,35,70,https://wefut.com/player/13/1594/kim-yong-dae
Ufuk Ceylan,70,silver,Turkey,75,70,69,74,56,64,https://wefut.com/player/13/1453/ufuk-ceylan
Gianluca Pegolo,70,silver,Italy,71,69,63,75,47,71,https://wefut.com/player/13/1143/gianluca-pegolo
Daniel Haas,70,silver,Germany,71,70,65,73,45,70,https://wefut.com/player/13/1047/daniel-haas
Oka Nikolov,70,silver,FYR Macedonia,72,64,59,73,33,73,https://wefut.com/player/13/1041/oka-nikolov
Tommaso Berni,70,silver,Italy,70,69,65,73,51,71,https://wefut.com/player/13/1001/tommaso-berni
Lee Camp,70,silver,Northern Ireland,72,70,68,72,35,65,https://wefut.com/player/13/953/lee-camp
Sead Ramovic,70,silver,Bosnia Herzegovina,69,73,68,74,47,70,https://wefut.com/player/13/661/sead-ramovic
Jimmy Nielsen,70,silver,Denmark,72,63,71,75,37,70,https://wefut.com/player/13/469/jimmy-nielsen
Neil Alexander,70,silver,Scotland,72,73,61,68,54,74,https://wefut.com/player/13/334/neil-alexander
Emanuele Belardi,70,silver,Italy,68,70,60,71,49,75,https://wefut.com/player/13/74/emanuele-belardi
Gábor Király,70,silver,Hungary,70,68,64,74,35,67,https://wefut.com/player/13/36/gabor-kiraly
Simon Pouplin,69,silverif,France,70,69,65,72,51,70,https://wefut.com/player/13/11324/simon-pouplin
Jack Butland,69,silverrare,England,70,67,55,75,67,66,https://wefut.com/player/13/13649/jack-butland
Jack Butland,69,silverrare,England,70,67,55,75,67,66,https://wefut.com/player/13/9377/jack-butland
Rubén Miño,69,silverrare,Spain,64,75,62,69,56,73,https://wefut.com/player/13/7856/ruben-mino
Robbin Ruiter,69,silverrare,Netherlands,69,67,68,68,55,71,https://wefut.com/player/13/6890/robbin-ruiter
Falcón,69,silverrare,Spain,79,63,57,74,53,64,https://wefut.com/player/13/4145/falcon
Michael Tørnes,69,silverrare,Denmark,70,74,57,71,62,68,https://wefut.com/player/13/3303/michael-tornes
Ciro Polito,69,silverrare,Italy,67,69,65,72,64,69,https://wefut.com/player/13/3075/ciro-polito
Philipp Tschauner,69,silverrare,Germany,72,71,60,72,53,65,https://wefut.com/player/13/3053/philipp-tschauner
Dimitrios Konstantopoulos,69,silverrare,Greece,69,68,74,71,65,75,https://wefut.com/player/13/2578/dimitrios-konstantopoulos
Brian Vandenbussche,69,silverrare,Belgium,73,67,63,71,50,68,https://wefut.com/player/13/2325/brian-vandenbussche
Ivan Pelizzoli,69,silverrare,Italy,68,66,66,72,47,70,https://wefut.com/player/13/621/ivan-pelizzoli
Dorus de Vries,69,silverrare,Netherlands,71,67,77,76,54,63,https://wefut.com/player/13/495/dorus-de-vries
Giorgio Frezzolini,69,silverrare,Italy,66,66,60,70,34,78,https://wefut.com/player/13/180/giorgio-frezzolini
Ján Mucha,69,silver,Slovakia,72,69,64,74,41,63,https://wefut.com/player/13/14223/jan-mucha
Dani Giménez,69,silver,Spain,73,61,60,78,61,64,https://wefut.com/player/13/14190/dani-gimenez
Cameron Bell,69,silver,Scotland,71,67,63,74,24,68,https://wefut.com/player/13/13825/cameron-bell
Enrico Guarna,69,silver,Italy,67,68,60,75,47,70,https://wefut.com/player/13/12695/enrico-guarna
Mark Bunn,69,silver,England,70,68,72,75,48,64,https://wefut.com/player/13/12375/mark-bunn
Johny Placide,69,silver,Haiti,70,66,65,69,53,71,https://wefut.com/player/13/12207/johny-placide
Andrea Campagnolo,69,silver,Italy,68,66,60,70,51,72,https://wefut.com/player/13/12172/andrea-campagnolo
Faiz Al Sobea,69,silver,Saudi Arabia,71,67,65,77,47,68,https://wefut.com/player/13/10592/faiz-al-sobea
Joris Delle,69,silver,France,73,71,66,73,52,70,https://wefut.com/player/13/7826/joris-delle
Danijel Subašić,69,silver,Croatia,65,70,61,73,51,67,https://wefut.com/player/13/7450/danijel-subasic
Alex McCarthy,69,silver,England,71,68,67,74,59,68,https://wefut.com/player/13/6727/alex-mccarthy
Mohamed Amsif,69,silver,Morocco,73,64,60,77,47,62,https://wefut.com/player/13/6705/mohamed-amsif
Evgeniy Pomazan,69,silver,Russia,70,72,60,71,47,67,https://wefut.com/player/13/6396/evgeniy-pomazan
Raphael Wolf,69,silver,Germany,69,64,64,72,51,74,https://wefut.com/player/13/6289/raphael-wolf
Johny Placide,69,silver,Haiti,70,66,65,69,53,71,https://wefut.com/player/13/5031/johny-placide
Patric Klandt,69,silver,Germany,68,71,69,74,62,66,https://wefut.com/player/13/4823/patric-klandt
Ján Mucha,69,silver,Slovakia,72,69,64,74,41,63,https://wefut.com/player/13/4192/jan-mucha
Cameron Bell,69,silver,Scotland,71,67,63,74,24,68,https://wefut.com/player/13/3796/cameron-bell
Cássio,69,silver,Brazil,72,66,58,72,32,67,https://wefut.com/player/13/3656/cassio
Daniel Fernandes,69,silver,Portugal,74,64,68,75,39,63,https://wefut.com/player/13/3479/daniel-fernandes
Remko Pasveer,69,silver,Netherlands,70,66,67,69,46,71,https://wefut.com/player/13/3241/remko-pasveer
Enrico Guarna,69,silver,Italy,67,68,60,75,47,70,https://wefut.com/player/13/3102/enrico-guarna
Antonio Rosati,69,silver,Italy,68,66,50,76,46,72,https://wefut.com/player/13/2383/antonio-rosati
Roman Berezovskiy,69,silver,Armenia,68,72,68,68,42,71,https://wefut.com/player/13/2301/roman-berezovskiy
Sergei Pareiko,69,silver,Estonia,74,58,72,70,52,72,https://wefut.com/player/13/2267/sergei-pareiko
Dani Giménez,69,silver,Spain,73,61,60,78,61,64,https://wefut.com/player/13/2208/dani-gimenez
Marcelo Barovero,69,silver,Argentina,76,70,70,72,35,73,https://wefut.com/player/13/2059/marcelo-barovero
Alexander Walke,69,silver,Germany,68,66,64,76,56,66,https://wefut.com/player/13/1390/alexander-walke
Christofer Heimeroth,69,silver,Germany,64,68,55,74,44,72,https://wefut.com/player/13/1313/christofer-heimeroth
Marco Wölfli,69,silver,Switzerland,70,63,73,77,53,67,https://wefut.com/player/13/1304/marco-wolfli
Andrea Campagnolo,69,silver,Italy,68,66,60,70,51,72,https://wefut.com/player/13/1155/andrea-campagnolo
Espen Bugge Pettersen,69,silver,Norway,65,68,59,72,48,74,https://wefut.com/player/13/847/espen-bugge-pettersen
Eldin Jakupović,69,silver,Switzerland,72,68,66,70,46,68,https://wefut.com/player/13/844/eldin-jakupovic
Cristiano Lupatelli,69,silver,Italy,68,69,62,71,33,70,https://wefut.com/player/13/291/cristiano-lupatelli
David Meul,68,silverif,Belgium,70,66,59,72,39,67,https://wefut.com/player/13/11179/david-meul
Kim Byung Ji,68,silverrare,Korea Republic,67,62,54,72,64,71,https://wefut.com/player/13/12022/kim-byung-ji
Fabian Giefer,68,silverrare,Germany,70,64,54,72,45,66,https://wefut.com/player/13/7609/fabian-giefer
Glédson,68,silverrare,Brazil,70,63,65,69,34,76,https://wefut.com/player/13/7342/gledson
Dani Hernández,68,silverrare,Venezuela,62,73,85,66,34,71,https://wefut.com/player/13/6807/dani-hernandez
Raúl,68,silverrare,Spain,64,74,63,67,54,72,https://wefut.com/player/13/6230/raul
Martin Männel,68,silverrare,Germany,68,67,64,71,65,66,https://wefut.com/player/13/5482/martin-mannel
Juan Carlos,68,silverrare,Spain,79,62,66,77,42,58,https://wefut.com/player/13/4247/juan-carlos
Mariano Barbosa,68,silverrare,Argentina,73,66,74,77,67,56,https://wefut.com/player/13/2073/mariano-barbosa
Kim Byung Ji,68,silverrare,Korea Republic,67,62,54,72,64,71,https://wefut.com/player/13/1593/kim-byung-ji
Grégory Malicki,68,silverrare,France,66,63,68,73,35,78,https://wefut.com/player/13/1332/gregory-malicki
Maik Taylor,68,silverrare,Northern Ireland,64,74,61,64,48,72,https://wefut.com/player/13/813/maik-taylor
Luciano,68,silverrare,Brazil,74,60,67,76,72,64,https://wefut.com/player/13/660/luciano
Lee Woon Jae,68,silverrare,Korea Republic,61,77,82,70,22,67,https://wefut.com/player/13/414/lee-woon-jae
Luke Steele,68,silverrare,England,72,64,64,73,64,66,https://wefut.com/player/13/368/luke-steele
Tom Heaton,68,silver,England,70,68,64,68,35,67,https://wefut.com/player/13/13662/tom-heaton
Kevin Hartman,68,silver,United States,74,55,71,69,54,73,https://wefut.com/player/13/13657/kevin-hartman
Timo Horn,68,silver,Germany,71,65,74,71,45,63,https://wefut.com/player/13/8688/timo-horn
Anthony Lopes,68,silver,Portugal,72,64,62,70,55,68,https://wefut.com/player/13/8485/anthony-lopes
Mathew Ryan,68,silver,Australia,67,61,74,71,59,71,https://wefut.com/player/13/8354/mathew-ryan
Giacomo Brichetto,68,silver,Italy,70,67,60,70,34,70,https://wefut.com/player/13/7834/giacomo-brichetto
Francesco Bardi,68,silver,Italy,67,68,61,75,57,66,https://wefut.com/player/13/7744/francesco-bardi
Heinz Lindner,68,silver,Austria,74,61,61,72,53,65,https://wefut.com/player/13/7617/heinz-lindner
Pierrick Cros,68,silver,France,71,65,62,77,37,69,https://wefut.com/player/13/7584/pierrick-cros
Damien Grégorini,69,silver,France,70,73,64,70,42,71,https://wefut.com/player/13/7530/stefan-magnusson
Mario,68,silver,Spain,71,66,58,78,46,65,https://wefut.com/player/13/6961/mario
Jason Steele,68,silver,England,70,67,64,71,55,64,https://wefut.com/player/13/6604/jason-steele
